2018-08-14 17:40
【珠海中富：控股股东所持股份将被公开拍卖】财联社8月14日讯，珠海中富公告，鉴于控股股东捷安德已被深圳中院宣告破产，为保障债权人的合法清偿权益，管理人拟于2018年8月15日委托深圳市企业破产学会在淘宝网司法网络拍卖平台公告整体打包拍卖捷安德持有的珠海中富146473200股股票，公开拍卖期间为2018年9月17日10时至2018年9月18日10时止（延时除外）。
2018-08-14 17:39
财联社8月14日讯，*ST建峰公告，向深交所申请撤销公司股票交易退市风险警示，公司拟将证券简称变更为“重药控股”。
2018-08-14 17:36
【广汽丰田原董事长袁仲荣加盟恒大法拉第未来 出任总裁】财联社8月14日讯，今日，恒大法拉第未来智能汽车（中国）集团在广州恒大中心正式揭牌，其管理团队也正式亮相，广汽丰田原董事长袁仲荣加盟，任恒大高科技集团副总裁兼恒大法拉第未来智能汽车（中国）集团总裁。（每经）
2018-08-14 17:36
财联社8月14日讯，*ST凯迪公告，控股股东阳光凯迪新能源集团因涉嫌信息披露违规被中国证监会调查。
2018-08-14 17:35
财联社8月14日讯，深深宝A公告，因审计机构中天运被证监会立案调查，董事会同意向证监会申请中止审核本次重大资产重组。
2018-08-14 17:34
【新世纪评级：下调六师国资主体信用等级至C】财联社8月14日讯，新世纪评级公告称，将六师国资主体信用等级由AA下调至C，同时将“ 15兵团六师MTN001 ”和“ 17兵团六师CP002 ”债项信用等级由AA级和A-1级下调至C和D。此前“16兵团六师SCP001”违约，“16兵团六师SCP002”兑付存在不确定性。
2018-08-14 17:25
财联社8月14日讯，五矿发展公告，公司被纳入国企改革“双百企业”名单。
2018-08-14 17:24
【“海南一号”卫星整星方案通过专家评审 将于2019年下半年择机发射】财联社8月14日讯，从三亚中科遥感研究所召开的“海南一号”卫星项目整星方案评审会上获悉，经专家组评审，4颗“海南一号”光学卫星整星技术方案通过评审，将按计划进入卫星正样设计、总装和综合测试阶段，并将于2019年下半年择机发射。（新华社）
2018-08-14 17:23
财联社8月14日讯，中国主权财富基金据悉支持130亿美元百胜中国交易，DCP CAPITAL据悉也是百胜中国交易中高瓴财团的一部分。（彭博）
2018-08-14 17:21
财联社8月14日讯，工信部发布2018年工业转型升级资金（部门预算）项目指南的通知，围绕制造强国建设目标，主要支持制造业创新中心能力建设、产业链协同能力提升、产业共性服务平台、新材料首批次应用保险4个方面共13项重点任务。
2018-08-14 17:14
财联社8月14日讯，恒大法拉第（中国）董事长彭建军表示，FF91首开白车身，整车组装工作正有序进行，测试计划推进，2019年一季度实现FF91量产。（财联社记者 陈业）
2018-08-14 17:09
财联社8月14日讯，中钢国际公告，公司被纳入国企改革“双百企业”名单。
2018-08-14 17:06
财联社8月14日讯，中国证券市场上周新增投资者数为23.96万，前值为24.22万。
2018-08-14 17:02
【国办：年底前制定出台基础设施和公共服务领域政府和社会资本合作条例 出台“互联网+医疗健康”政策文件】财联社8月14日讯，国务院办公厅印发全国深化“放管服”改革转变政府职能电视电话会议重点任务分工方案的通知，实行全国统一的市场准入负面清单制度，不断缩减清单事项，推动“非禁即入”普遍落实。落实好已出台的扩大享受减半征收所得税优惠政策的小微企业范围等减税降费政策，研究进一步深化增值税改革方案。实行全国统一的市场准入负面清单制度，不断缩减清单事项，推动“非禁即入”普遍落实。督促金融机构落实好深化小微企业金融服务政策措施，确保2018年小微企业贷款规模有所上升，融资成本有所下降。2018年流量资费实现下降30%以上，推动家庭宽带降价30%、中小企业专线降价10%—15%。2018年底前制定出台基础设施和公共服务领域政府和社会资本合作条例。2018年底前出台《互联网诊疗管理办法》、《互联网医院管理办法》等规范“互联网+医疗健康”的政策文件。
2018-08-14 17:00
财联社8月14日讯，据韩国《每日经济新闻》：据悉朝鲜同意向美国提交核清单。
2018-08-14 16:59
【恒大健康：FF将在中国建五大基地 目标十年后年产能可达500万辆】财联社8月14日讯，恒大健康（00708.HK）14日表示，今日Faraday Future于中国设立了运营总部。集团获悉Faraday Future为此制定了长远战略规划，未来十年在中国华东、华西、华南、华北和华中地区，建设五大研发生产基地；目标在十年后，年产能计划可达到500万辆，以FF91、FF81等多系列多车型产品面向全球市场，覆盖高端、中端及入门级，打造互联网智能出行生态，全面满足快速增长的不同市场需求。
2018-08-14 16:56
【IPO上会今日“二过一” 200余家在会企业审核提速】财联社8月14日讯，今日第119次发审会议召开，据悉，2家上会企业，江苏利通电子股份有限公司过会，国科恒泰医疗科技股份有限公司暂缓表决。根据发行部最新披露的IPO审核状态表，目前，上交所有126家，深交所中小板有42家，创业板有97家，总计265家等待过会的在会企业。（腾讯新闻《一线》）
2018-08-14 16:54
财联社8月14日讯，国家发改委办公厅印发《国有企业混合所有制改革相关税收政策文件汇编》的通知。
2018-08-14 16:51
【电报|恒大法拉第未来今日正式揭牌】财联社8月14日讯，今日下午恒大法拉第未来智能汽车(中国)集团在广州正式揭牌。该公司于8月7日注册成立，注册资本20亿美元，法定代表人为彭建军。（财联社记者 陈业）
2018-08-14 16:47
【“通武廊”三地签署工业战略合作框架协议】财联社8月14日讯，北京市通州区经济和信息化委员会、天津市武清区工业经济委员会、河北省廊坊市工业和信息化局三部门在武清区京滨工业园共同签署了《工业战略合作框架协议》，将通过政策引导、多方参与、资源整合等方式提升三地工业经济整体影响力和辐射力，打造京津冀协同发展工业经济领域共享示范区。（新华社）
2018-08-14 16:44
【诚迈科技：两股东拟清仓减持不超17.75%股份】财联社8月14日讯，诚迈科技公告，股东Scentshill Capital I 拟减持股份数量合计13131340股，即不超过公司目前总股本的16.41%；股东Scentshill Capital II拟减持股份数量合计1073860股，即不超过公司目前总股本的1.34%。
2018-08-14 16:42
财联社8月14日讯，国家发改委就废止《电工进网作业许可证管理办法》公开征求意见。
2018-08-14 16:41
